@relation speech

@attribute mfcc1 numeric
@attribute mfcc2 numeric
@attribute mfcc3 numeric
@attribute mfcc4 numeric
@attribute mfcc5 numeric
@attribute mfcc6 numeric
@attribute mfcc7 numeric
@attribute mfcc8 numeric
@attribute mfcc9 numeric
@attribute mfcc10 numeric
@attribute mfcc11 numeric
@attribute mfcc12 numeric
@attribute speech {true,false}
@data

-Infinity,Infinity,-Infinity,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
-Infinity,Infinity,-Infinity,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
-Infinity,Infinity,-Infinity,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
-Infinity,Infinity,-Infinity,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
-Infinity,Infinity,-Infinity,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
-Infinity,Infinity,-Infinity,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
-Infinity,Infinity,-Infinity,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
-Infinity,Infinity,-Infinity,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
-Infinity,Infinity,-Infinity,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
-Infinity,Infinity,-Infinity,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
-Infinity,Infinity,-Infinity,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
-Infinity,Infinity,-Infinity,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
-Infinity,Infinity,-Infinity,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
-Infinity,Infinity,-Infinity,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
-Infinity,Infinity,-Infinity,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
-Infinity,Infinity,-Infinity,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false
